ecg,emg_cheekbone,ksr,emg_nose,pulse
1.78431368,1.78431368,1.78431368,2.72549009,1.2352941
2.05882359,2.05882359,2.05882359,2.72549009,1.21568632
2.43137264,2.43137264,2.43137264,2.74509811,1.2352941
2.47058821,2.47058821,2.47058821,2.74509811,1.21568632
2.33333325,2.33333325,2.33333325,2.74509811,1.25490201
1.72549021,1.72549021,1.72549021,2.72549009,1.2352941
1.82352936,1.82352936,1.82352936,2.72549009,1.25490201
2.21568632,2.21568632,2.21568632,2.70588231,1.2352941
2.52941179,2.52941179,2.52941179,2.66666675,1.2352941
2.47058821,2.47058821,2.47058821,2.66666675,1.25490201
2.45098042,2.45098042,2.45098042,2.60784316,1.2352941
2.0392158,2.0392158,2.0392158,2.58823538,1.27450979
2.01960778,2.01960778,2.01960778,2.60784316,1.25490201
2.37254906,2.37254906,2.37254906,2.70588231,1.27450979
2.88235283,2.88235283,2.88235283,2.72549009,1.27450979
3.21568632,3.21568632,3.21568632,2.68627453,1.29411769
2.92156863,2.92156863,2.92156863,2.60784316,1.31372547
2.45098042,2.45098042,2.45098042,2.64705873,1.31372547
2.0,2.0,2.0,2.66666675,1.35294116
2.49019599,2.49019599,2.49019599,2.74509811,1.33333337
2.70588231,2.70588231,2.70588231,2.72549009,1.37254906
3.25490189,3.25490189,3.25490189,2.68627453,1.39215684
3.0392158,3.0392158,3.0392158,2.60784316,1.41176474
2.80392146,2.80392146,2.80392146,2.56862736,1.43137252
2.43137264,2.43137264,2.43137264,2.52941179,1.47058821
2.56862736,2.56862736,2.56862736,2.56862736,1.47058821
2.88235283,2.88235283,2.88235283,2.58823538,1.49019611
3.27450991,3.27450991,3.27450991,2.58823538,1.50980389
3.49019599,3.49019599,3.49019599,2.58823538,1.52941179
3.15686274,3.15686274,3.15686274,2.54901958,1.54901958
2.7647059,2.7647059,2.7647059,2.52941179,1.56862748
2.2352941,2.2352941,2.2352941,2.43137264,1.58823526
2.70588231,2.70588231,2.70588231,2.45098042,1.60784316
3.05882359,3.05882359,3.05882359,2.47058821,1.60784316
3.52941179,3.52941179,3.52941179,2.49019599,1.62745094
3.52941179,3.52941179,3.52941179,2.50980401,1.64705884
3.45098042,3.45098042,3.45098042,2.47058821,1.66666663
3.0392158,3.0392158,3.0392158,2.47058821,1.68627453
3.01960778,3.01960778,3.01960778,2.50980401,1.70588231
3.15686274,3.15686274,3.15686274,2.54901958,1.72549021
3.66666675,3.66666675,3.66666675,2.56862736,1.74509799
3.86274505,3.86274505,3.86274505,2.47058821,1.7647059
3.74509811,3.74509811,3.74509811,2.39215684,1.78431368
3.17647052,3.17647052,3.17647052,2.39215684,1.80392158
2.94117641,2.94117641,2.94117641,2.43137264,1.80392158
3.39215684,3.39215684,3.39215684,2.47058821,1.82352936
3.68627453,3.68627453,3.68627453,2.43137264,1.84313726
3.80392146,3.80392146,3.80392146,2.41176462,1.84313726
3.29411769,3.29411769,3.29411769,2.39215684,1.86274505
3.05882359,3.05882359,3.05882359,2.43137264,1.88235295
2.31372547,2.31372547,2.31372547,2.41176462,1.88235295
2.47058821,2.47058821,2.47058821,2.39215684,1.90196073
2.49019599,2.49019599,2.49019599,2.39215684,1.90196073
3.0,3.0,3.0,2.43137264,1.90196073
3.27450991,3.27450991,3.27450991,2.39215684,1.90196073
3.01960778,3.01960778,3.01960778,2.37254906,1.92156863
2.29411769,2.29411769,2.29411769,2.39215684,1.92156863
1.9803921,1.9803921,1.9803921,2.43137264,1.92156863
1.9803921,1.9803921,1.9803921,2.41176462,1.92156863
1.90196073,1.90196073,1.90196073,2.39215684,1.92156863
2.17647052,2.17647052,2.17647052,2.35294127,1.94117641
1.90196073,1.90196073,1.90196073,2.33333325,1.94117641
1.74509799,1.74509799,1.74509799,2.37254906,1.96078432
1.27450979,1.27450979,1.27450979,2.41176462,1.96078432
1.15686274,1.15686274,1.15686274,2.43137264,1.9803921
1.50980389,1.50980389,1.50980389,2.45098042,1.96078432
1.80392158,1.80392158,1.80392158,2.50980401,1.96078432
1.9803921,1.9803921,1.9803921,2.49019599,1.96078432
2.0392158,2.0392158,2.0392158,2.43137264,1.96078432
1.80392158,1.80392158,1.80392158,2.47058821,1.94117641
1.41176474,1.41176474,1.41176474,2.52941179,1.94117641
1.68627453,1.68627453,1.68627453,2.54901958,1.94117641
1.54901958,1.54901958,1.54901958,2.52941179,1.94117641
1.88235295,1.88235295,1.88235295,2.49019599,1.96078432
1.78431368,1.78431368,1.78431368,2.47058821,1.96078432
1.49019611,1.49019611,1.49019611,2.45098042,1.94117641
1.43137252,1.43137252,1.43137252,2.45098042,1.94117641
1.52941179,1.52941179,1.52941179,2.50980401,1.92156863
1.84313726,1.84313726,1.84313726,2.50980401,1.92156863
2.58823538,2.58823538,2.58823538,2.52941179,1.90196073
2.29411769,2.29411769,2.29411769,2.50980401,1.90196073
1.82352936,1.82352936,1.82352936,2.49019599,1.90196073
1.43137252,1.43137252,1.43137252,2.49019599,1.90196073
1.7647059,1.7647059,1.7647059,2.52941179,1.90196073
2.07843137,2.07843137,2.07843137,2.54901958,1.88235295
2.45098042,2.45098042,2.45098042,2.52941179,1.86274505
2.58823538,2.58823538,2.58823538,2.50980401,1.84313726
2.35294127,2.35294127,2.35294127,2.49019599,1.84313726
2.01960778,2.01960778,2.01960778,2.47058821,1.82352936
1.64705884,1.64705884,1.64705884,2.47058821,1.82352936
1.80392158,1.80392158,1.80392158,2.47058821,1.80392158
2.05882359,2.05882359,2.05882359,2.47058821,1.80392158
2.7647059,2.7647059,2.7647059,2.50980401,1.78431368
2.70588231,2.70588231,2.70588231,2.56862736,1.78431368
2.52941179,2.52941179,2.52941179,2.54901958,1.7647059
